order_id,order_date,product_id_x,category,supplier,price,region,product_id_y,return_date,return_reason,is_returned
O1000,2023-06-28,P108,Clothing,Supplier A,64.21,West,,,,0
O1001,2023-01-12,P107,Clothing,Supplier C,477.02,South,,,,0
O1002,2023-01-04,P106,Clothing,Supplier A,47.54,North,,,,0
O1003,2023-06-15,P105,Books,Supplier A,100.05,South,P105,2023-03-01,Damaged,1
O1004,2023-02-14,P105,Electronics,Supplier B,33.47,East,P105,2023-02-21,Wrong Item,1
O1005,2023-04-23,P100,Clothing,Supplier A,122.37,North,P100,2023-06-17,Wrong Item,1
O1006,2023-02-06,P100,Electronics,Supplier C,416.98,North,P100,2023-06-19,Late Delivery,1
O1007,2023-03-28,P108,Books,Supplier A,400.08,West,P108,2023-01-28,Not Needed,1
O1008,2023-05-31,P109,Home,Supplier B,430.89,West,,,,0
O1009,2023-01-24,P104,Clothing,Supplier A,499.94,West,P104,2023-02-13,Late Delivery,1
O1010,2023-01-29,P103,Electronics,Supplier C,333.31,South,,,,0
O1011,2023-01-08,P106,Books,Supplier C,43.45,East,P106,2023-02-22,Damaged,1
O1012,2023-01-24,P105,Clothing,Supplier B,387.45,South,,,,0
O1013,2023-05-09,P102,Clothing,Supplier A,55.69,East,P102,2023-03-26,Wrong Item,1
O1014,2023-05-04,P101,Books,Supplier C,211.21,West,,,,0
O1015,2023-04-15,P100,Clothing,Supplier C,60.77,West,,,,0
O1016,2023-01-23,P107,Home,Supplier C,464.06,South,,,,0
O1017,2023-01-09,P109,Books,Supplier A,305.94,West,,,,0
O1018,2023-02-22,P100,Clothing,Supplier A,269.74,North,P100,2023-02-16,Wrong Item,1
O1019,2023-06-18,P101,Clothing,Supplier C,191.19,East,,,,0
O1020,2023-03-17,P106,Books,Supplier B,441.28,North,,,,0
O1021,2023-05-14,P102,Books,Supplier C,44.41,West,P102,2023-07-02,Wrong Item,1
O1022,2023-03-10,P101,Clothing,Supplier B,383.21,North,,,,0
O1023,2023-06-08,P105,Clothing,Supplier C,91.87,East,,,,0
O1024,2023-04-12,P101,Books,Supplier A,453.46,East,,,,0
O1025,2023-03-27,P105,Home,Supplier A,249.71,North,P105,2023-06-05,Wrong Item,1
O1026,2023-02-10,P109,Home,Supplier A,342.09,North,,,,0
O1027,2023-04-12,P109,Electronics,Supplier A,96.59,North,,,,0
O1028,2023-06-11,P100,Clothing,Supplier A,50.64,West,P100,2023-04-23,Late Delivery,1
O1029,2023-02-22,P100,Electronics,Supplier C,102.51,East,P100,2023-03-04,Damaged,1
O1030,2023-04-12,P103,Clothing,Supplier A,132.74,East,,,,0
O1031,2023-01-26,P102,Books,Supplier B,78.76,West,,,,0
O1032,2023-02-18,P108,Home,Supplier C,209.83,South,,,,0
O1033,2023-02-02,P103,Clothing,Supplier C,198.29,West,,,,0
O1034,2023-06-01,P102,Home,Supplier A,219.23,West,,,,0
O1035,2023-06-20,P106,Home,Supplier B,469.03,East,,,,0
O1036,2023-06-28,P100,Clothing,Supplier C,119.57,South,,,,0
O1037,2023-05-17,P101,Books,Supplier B,35.28,East,,,,0
O1038,2023-02-28,P107,Books,Supplier C,37.26,North,,,,0
O1039,2023-05-05,P109,Home,Supplier C,46.0,East,,,,0
O1040,2023-02-06,P109,Electronics,Supplier C,167.97,West,,,,0
O1041,2023-05-19,P102,Books,Supplier B,50.48,South,P102,2023-07-06,Wrong Item,1
O1042,2023-05-20,P102,Home,Supplier A,324.92,South,,,,0
O1043,2023-04-22,P109,Books,Supplier C,154.52,South,P109,2023-05-01,Damaged,1
O1044,2023-03-23,P102,Clothing,Supplier B,483.6,East,,,,0
O1045,2023-02-02,P104,Clothing,Supplier B,69.81,South,P104,2023-01-27,Late Delivery,1
O1046,2023-04-21,P107,Electronics,Supplier B,413.52,East,,,,0
O1047,2023-06-13,P100,Books,Supplier B,143.35,North,,,,0
O1048,2023-03-15,P110,Books,Supplier A,187.89,West,,,,0
O1049,2023-06-07,P104,Home,Supplier B,255.28,South,,,,0
O1050,2023-05-08,P109,Home,Supplier A,486.68,West,,,,0
O1051,2023-02-10,P100,Clothing,Supplier C,129.35,South,P100,2023-06-22,Wrong Item,1
O1052,2023-04-02,P106,Clothing,Supplier C,59.42,West,,,,0
O1053,2023-04-01,P106,Books,Supplier B,162.18,South,,,,0
O1054,2023-06-30,P108,Clothing,Supplier C,65.4,East,,,,0
O1055,2023-02-22,P110,Electronics,Supplier A,130.77,South,,,,0
O1056,2023-01-01,P102,Home,Supplier C,200.43,North,,,,0
O1057,2023-04-14,P103,Home,Supplier C,435.0,West,,,,0
O1058,2023-06-07,P104,Electronics,Supplier C,158.95,West,,,,0
O1059,2023-01-12,P107,Electronics,Supplier C,262.63,North,,,,0
O1060,2023-04-28,P101,Electronics,Supplier C,494.21,South,,,,0
O1061,2023-06-05,P107,Electronics,Supplier C,436.68,North,P107,2023-07-13,Damaged,1
O1062,2023-05-07,P106,Clothing,Supplier B,164.92,East,,,,0
O1063,2023-06-04,P106,Books,Supplier A,379.69,North,P106,2023-03-25,Wrong Item,1
O1064,2023-06-16,P100,Electronics,Supplier C,296.14,North,,,,0
O1065,2023-04-01,P102,Clothing,Supplier B,59.81,North,,,,0
O1066,2023-02-09,P103,Home,Supplier B,120.86,East,P103,2023-04-11,Wrong Item,1
O1067,2023-03-19,P105,Clothing,Supplier B,392.09,North,,,,0
O1068,2023-02-16,P100,Home,Supplier A,200.16,South,P100,2023-02-23,Late Delivery,1
O1069,2023-04-25,P101,Electronics,Supplier B,343.06,North,,,,0
O1070,2023-01-11,P106,Clothing,Supplier A,206.8,South,P106,2023-04-01,Late Delivery,1
O1071,2023-03-12,P103,Home,Supplier C,409.42,West,P103,2023-02-28,Not Needed,1
O1072,2023-06-05,P108,Home,Supplier A,349.19,West,,,,0
O1073,2023-03-09,P104,Clothing,Supplier B,111.77,South,,,,0
O1074,2023-03-20,P105,Home,Supplier B,306.88,South,P105,2023-07-10,Not Needed,1
O1075,2023-03-24,P103,Home,Supplier A,389.6,South,,,,0
O1076,2023-03-06,P104,Books,Supplier B,461.36,North,,,,0
O1077,2023-06-09,P109,Electronics,Supplier B,106.13,South,P109,2023-05-19,Wrong Item,1
O1078,2023-05-28,P110,Books,Supplier C,206.24,East,,,,0
O1079,2023-04-26,P109,Electronics,Supplier A,345.96,South,,,,0
O1080,2023-01-31,P104,Electronics,Supplier A,361.03,South,,,,0
O1081,2023-01-12,P106,Electronics,Supplier A,104.54,North,,,,0
O1082,2023-04-23,P104,Electronics,Supplier A,498.46,East,P104,2023-06-04,Wrong Item,1
O1083,2023-05-04,P110,Books,Supplier B,231.37,West,,,,0
O1084,2023-01-22,P107,Clothing,Supplier A,146.34,South,,,,0
O1085,2023-03-20,P110,Books,Supplier C,276.22,North,,,,0
O1086,2023-03-26,P107,Clothing,Supplier A,151.16,North,,,,0
O1087,2023-04-15,P103,Clothing,Supplier C,287.16,North,,,,0
O1088,2023-01-24,P103,Books,Supplier B,142.33,East,,,,0
O1089,2023-02-20,P108,Home,Supplier B,134.03,East,,,,0
O1090,2023-03-06,P107,Electronics,Supplier A,107.97,West,,,,0
O1091,2023-01-26,P101,Home,Supplier C,279.45,East,P101,2023-03-07,Late Delivery,1
O1092,2023-04-24,P104,Clothing,Supplier A,60.6,East,,,,0
O1093,2023-02-24,P108,Home,Supplier B,60.76,North,,,,0
O1094,2023-03-05,P106,Home,Supplier B,218.57,South,,,,0
O1095,2023-01-08,P100,Clothing,Supplier A,359.11,West,P100,2023-07-10,Late Delivery,1
O1096,2023-01-28,P103,Electronics,Supplier B,223.81,West,,,,0
O1097,2023-02-04,P103,Clothing,Supplier B,236.63,South,P103,2023-05-11,Damaged,1
O1098,2023-03-22,P109,Books,Supplier B,331.75,East,,,,0
O1099,2023-02-27,P110,Electronics,Supplier B,96.68,West,P110,2023-02-05,Not Needed,1
